"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=cetacea"
"Access Time","Fri 2017-02-03 02:22:27 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","cetacea"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.195"
"Records Found","4217"
"Records Returned","4217"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"148360","occ","","","13100","n. gen. Austrosqualodon n. sp. trirhizodonta","species","63212","","Austrosqualodon trirhizodonta","species","63212","Duntroonian","","27.3","25.2","4368"
"148363","occ","","","13102","Basilosaurus isis","species","53287","","Basilosaurus isis","species","62984","Priabonian","","38","33.9","6026"
"148364","occ","","","13102","Dorudon atrox","species","53288","","Dorudon atrox","species","62994","Priabonian","","38","33.9","6026"
"148365","occ","19615","","13103","Dorudon atrox","species","53288","","Dorudon atrox","species","62994","Priabonian","","38","33.9","10457"
"150826","occ","","","11596","Basilosaurus n. sp. drazindai","species","53163","","Basilosaurus drazindai","species","53163","Bartonian","","41.3","38","6010"
"150827","occ","","","13103","Basilosaurus isis","species","53287","","Basilosaurus isis","species","62984","Priabonian","","38","33.9","6026"
"150828","occ","","","13402","Basilosaurus isis","species","53287","","Basilosaurus isis","species","62984","Priabonian","","38","33.9","6026"
"150829","occ","","","13402","Dorudon atrox","species","53288","","Dorudon atrox","species","62994","Priabonian","","38","33.9","6026"
"150830","occ","","","13403","Basilosaurus isis","species","53287","","Basilosaurus isis","species","62984","Priabonian","","38","33.9","6026"
"150831","occ","","","13403","Dorudon atrox","species","53288","","Dorudon atrox","species","62994","Priabonian","","38","33.9","6026"
"150833","occ","","","13405","n. gen. Dorudon n. sp. serratus","species","53155","","Dorudon serratus","species","53155","Priabonian","","38","33.9","6032"
"150835","occ","26388","","13406","Basilosaurus ? drazindai","species","53163","","Basilosaurus drazindai","species","53163","Bartonian","","41.3","38","6010"
"150836","occ","","","13408","Thinocetus arthritus","species","53147","","Thinocetus arthritus","species","53147","Serravallian","","13.82","11.62","6034"
"150841","occ","","","13407","n. gen. Thinocetus n. sp. arthritus","species","53147","","Thinocetus arthritus","species","53147","Serravallian","","13.82","11.62","6034"
"150846","occ","","","13408","n. gen. Halicetus n. sp. ignotus","species","53149","","Halicetus ignotus","species","53149","Serravallian","","13.82","11.62","6034"
"150873","occ","18384","","13449","Cetacea indet.","order","36652","","Cetacea","order","36652","Miocene","","23.03","5.333","12845"
"151444","occ","","","13488","Balaenoptera n. sp. taiwanica","species","69157","","Balaenoptera taiwanica","species","69157","Zanclean","","5.333","3.6","6103"
"151803","occ","","","13521","Cetacea ? indet.","order","36652","","Cetacea","order","36652","Middle Eocene","Late Eocene","48.6","33.9","6123"
"187702","occ","","","18512","cf. Pomatodelphis sp.","genus","36819","","Pomatodelphis","genus","36819","Late Hemingfordian","","20.43","15.97","2614"
"188107","occ","","","18580","Parietobalaena palmeri","species","62938","","Parietobalaena palmeri","species","62938","Langhian","","15.97","13.82","55050"
"217636","occ","","","22221","Cetacea indet.","order","36652","","Cetacea","order","36652","Zanclean","","5.333","3.6","5391"
"220169","occ","","","22712","Physeterula sp.","genus","36808","","Physeterula","genus","36808","Piacenzian","","3.6","2.588","5666"
"220170","occ","","","22712","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Piacenzian","","3.6","2.588","5666"
"220173","occ","","","22712","Balaenidae indet.","family","42978","","Balaenidae","family","42978","Piacenzian","","3.6","2.588","5666"
"220174","occ","","","22712","Megaptera sp.","genus","36760","","Megaptera","genus","36760","Piacenzian","","3.6","2.588","5666"
"220183","occ","","","22712","Balaenoptera floridana","species","68451","invalid subgroup of","Mysticeti","suborder","42971","Piacenzian","","3.6","2.588","5666"
"220758","occ","","","21917","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Holocene","","0.0117","0","5234"
"220776","occ","","","21918","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Holocene","","0.0117","0","5234"
"225773","occ","","","21922","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Holocene","","0.0117","0","5236"
"225890","occ","","","21929","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Pleistocene","","2.588","0.0117","5238"
"226041","occ","","","21952","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Pleistocene","Holocene","2.588","0","5251"
"289579","occ","","","18549","Squalodon ? sp.","genus","36852","","Squalodon","genus","36852","Early Barstovian","","15.97","13.6","1145"
"297913","occ","","","28617","Neosqualodon assenzae","species","63423","","Neosqualodon assenzae","species","63423","Langhian","","15.97","13.82","24745"
"297914","occ","","","28617","Neosqualodon n. sp. gemmelllaroi","species","53167","nomen dubium","Neosqualodon gastaldii","species","68324","Langhian","","15.97","13.82","28755"
"297915","occ","","","28617","Squalodon cf. bariensis","species","53157","","Squalodon bariensis","species","63727","Langhian","","15.97","13.82","7898"
"297916","occ","","","28617","Squalodon n. sp. dalpiazi","species","53166","","Squalodon dalpiazi","species","53166","Langhian","","15.97","13.82","7898"
"300637","occ","","","28938","Andrewsiphius sloani","species","63152","","Andrewsiphius sloani","species","63120","Lutetian","","47.8","41.3","7933"
"300638","occ","","","28938","Remingtonocetus domandaensis","species","53239","","Remingtonocetus domandaensis","species","53239","Lutetian","","47.8","41.3","7933"
"300639","occ","","","28938","Dalanistes ahmedi","species","53241","","Dalanistes ahmedi","species","53241","Lutetian","","47.8","41.3","7933"
"300803","occ","","","28972","n. gen. Takracetus n. sp. simus","species","53298","","Takracetus simus","species","53298","Lutetian","","47.8","41.3","7939"
"300804","occ","","","28973","Rodhocetus kasrani","species","53296","corrected to","Rodhocetus kasranii","species","53296","Lutetian","","47.8","41.3","7939"
"300805","occ","","","28974","n. gen. Gaviacetus n. sp. razai","species","53299","","Gaviacetus razai","species","53299","Lutetian","","47.8","41.3","7939"
"300806","occ","","","28974","n. gen. Dalanistes n. sp. ahmedi","species","53241","","Dalanistes ahmedi","species","53241","Lutetian","","47.8","41.3","7939"
"300807","occ","","","28975","n. gen. Rodhocetus n. sp. kasrani","species","53296","corrected to","Rodhocetus kasranii","species","53296","Lutetian","","47.8","41.3","8323"
"300808","occ","","","28976","Indocetus ramani","species","53308","","Indocetus ramani","species","53308","Lutetian","","47.8","41.3","8324"
"300809","occ","","","28977","n. gen. Ancalecetus n. sp. simonsi","species","53295","","Ancalecetus simonsi","species","53295","Priabonian","","38","33.9","8325"
"300810","occ","","","28978","n. gen. Pakicetus n. sp. inachus","species","53310","","Pakicetus inachus","species","53310","Lutetian","","47.8","41.3","8326"
"300812","occ","","","28980","Babiacetus indicus","species","53314","","Babiacetus indicus","species","53314","Bartonian","","41.3","38","8327"
"300813","occ","","","28981","n. gen. Artiocetus n. sp. clavis","species","53317","","Artiocetus clavis","species","53317","Lutetian","","47.8","41.3","8328"
"300814","occ","","","28981","Rodhocetus n. sp. balochistanensis","species","53318","","Rodhocetus balochistanensis","species","53318","Lutetian","","47.8","41.3","8328"
"300826","occ","21194","","28983","n. gen. Alabamornis n. sp. gigantea","species","63086","subjective synonym of","Basilosaurus cetoides","species","63132","Priabonian","","38","33.9","11980"
"300827","occ","","","28983","Zygorhiza kochii","species","53292","","Zygorhiza kochii","species","63069","Priabonian","","38","33.9","8335"
"339347","occ","","","32052","Delphinus sp.","genus","36703","","Delphinus","genus","36703","Late Pliocene","","3.6","2.588","5595"
"339350","occ","","","32052","Kogia sp.","genus","36744","","Kogia","genus","36744","Late Pliocene","","3.6","2.588","5595"
"348021","occ","","","32899","Basilosaurus isis","species","53287","","Basilosaurus isis","species","62984","Priabonian","","38","33.9","8811"
"348022","occ","","","32900","Zygorhiza ? sp.","genus","36872","","Zygorhiza","genus","36872","Bortonian","","43","37.2","8812"
"348023","occ","15644","","32901","Georgiacetus cf. vogtlensis","species","63123","","Georgiacetus vogtlensis","species","63123","Lutetian","","47.8","41.3","289"
"348025","occ","","","32902","Basilosaurus cf. cetoides","species","53153","","Basilosaurus cetoides","species","63132","Priabonian","","38","33.9","36758"
"348026","occ","","","32903","n. gen. Natchitochia n. sp. jonesi","species","53998","","Natchitochia jonesi","species","53998","Bartonian","","41.3","38","8815"
"348028","occ","","","32905","Pappocetus lugardi","species","53999","","Pappocetus lugardi","species","53999","Bartonian","","41.3","38","8817"
"348029","occ","","","32906","n. gen. Pappocetus n. sp. lugardi","species","53999","","Pappocetus lugardi","species","53999","Bartonian","","41.3","38","8818"
"348030","occ","","","32907","Basilosaurus cetoides","species","53153","","Basilosaurus cetoides","species","63132","Priabonian","","38","33.9","8819"
"348031","occ","26299","","32908","Basilosauridae indet.","family","42936","","Basilosauridae","family","42936","Priabonian","","38","33.9","39153"
"348032","occ","27385","","32908","Basilosauridae indet.","family","42936","","Basilosauridae","family","42936","Priabonian","","38","33.9","42488"
"348038","occ","","","32915","Zeuglodon n. sp. wanklyni","species","54015","invalid subgroup of","Basilosauridae","family","42936","Bartonian","","41.3","38","8824"
"348039","occ","27384","","32916","Basilosauridae indet.","family","42936","","Basilosauridae","family","42936","Priabonian","","38","33.9","42488"
"348040","occ","","","32917","Archaeoceti indet.","suborder","42933","","Archaeoceti","suborder","42933","Priabonian","","38","33.9","8825"
"348041","occ","17986","","32918","Cynthiacetus maxwelli","species","63144","","Cynthiacetus maxwelli","species","63144","Priabonian","","38","33.9","12000"
"348042","occ","","","32919","Archaeoceti indet.","suborder","42933","","Archaeoceti","suborder","42933","Priabonian","","38","33.9","8825"
"348043","occ","","","32920","Basilosauridae indet.","family","42936","","Basilosauridae","family","42936","Priabonian","","38","33.9","8825"
"348044","occ","27547","","32921","Protocetidae indet.","family","42934","","Protocetidae","family","42934","Bartonian","","41.3","38","43076"
"348048","occ","","","32925","Basilosaurus cetoides","species","53153","","Basilosaurus cetoides","species","63132","Priabonian","","38","33.9","12024"
"348049","occ","","","32926","Basilosaurus cetoides","species","53153","","Basilosaurus cetoides","species","63132","Priabonian","","38","33.9","8335"
"348397","occ","","","32990","Dorudontinae indet.","subfamily","53109","invalid subgroup of","Basilosauridae","family","42936","Priabonian","","38","33.9","8837"
"348399","occ","29573","","32991","Protocetidae indet.","family","42934","","Protocetidae","family","42934","Lutetian","","47.8","41.3","49848"
"348400","occ","15677","","32992","Dorudontinae indet.","subfamily","53109","invalid subgroup of","Basilosauridae","family","42936","Priabonian","","38","33.9","12845"
"348401","occ","","","32993","Archaeoceti indet.","suborder","42933","","Archaeoceti","suborder","42933","Priabonian","","38","33.9","8841"
"348402","occ","","","32994","Archaeoceti indet.","suborder","42933","","Archaeoceti","suborder","42933","Priabonian","","38","33.9","6036"
"364216","occ","","","34521","Mesocetus n. sp. argillarius","species","69084","recombined as","Tranatocetus argillarius","species","69084","Tortonian","","11.62","7.246","9111"
"371205","occ","","","35125","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Messinian","","7.246","5.333","9455"
"384481","occ","","","12120","n. gen. Kampholophos n. sp. serrulus","species","53143","","Kampholophos serrulus","species","53143","Serravallian","","13.82","11.62","4176"
"384535","occ","","","28986","Basilosaurus cetoides","species","53153","","Basilosaurus cetoides","species","63132","Priabonian","","38","33.9","8335"
"389852","occ","","","37347","Hadrodelphis calvertense","species","64434","","Hadrodelphis calvertense","species","64434","Langhian","","15.97","13.82","10018"
"389853","occ","","","37348","n. gen. Macrokentriodon n. sp. morani","species","63627","","Macrokentriodon morani","species","63627","Serravallian","","13.82","11.62","10019"
"391699","occ","","","37598","Phoca n. sp. ambigua","species","63215","recombined as","Microcetus ambiguus","species","63215","Chattian","","28.1","23.03","36697"
"391724","occ","21700","","37599","Squalodon sp.","genus","36852","","Squalodon","genus","36852","Miocene","","23.03","5.333","29775"
"391973","occ","31076","","37602","Chaeomysticeti indet.","infraorder","53254","","Chaeomysticeti","infraorder","53254","Chattian","","28.1","23.03","55050"
"395326","occ","","","13079","Cetotheriidae indet.","family","42973","","Cetotheriidae","family","66751","Messinian","","7.246","5.333","12182"
"400874","occ","29218","","28975","Remingtonocetus domandaensis","species","53239","","Remingtonocetus domandaensis","species","53239","Lutetian","","47.8","41.3","7933"
"400875","occ","","","7299","Eocetus n. sp. wardii","species","63151","recombined as","Basilotritus wardii","species","63151","Bartonian","","41.3","38","8810"
"405530","occ","","","38954","Cetacea indet.","order","36652","","Cetacea","order","36652","Middle Pleistocene","","0.781","0.126","10537"
"405867","occ","12295","","39014","Dorudontinae indet.","subfamily","53109","invalid subgroup of","Basilosauridae","family","42936","Bartonian","","41.3","38","10457"
"405868","occ","","","39014","Basilosaurus sp.","genus","36681","","Basilosaurus","genus","36681","Bartonian","","41.3","38","10553"
"418955","occ","","","40693","Delphinus delphis","species","64534","","Delphinus delphis","species","64534","Early Pleistocene","","2.588","0.781","10958"
"440389","occ","","","43029","Protocetus n. sp. sloani","species","63120","recombined as","Andrewsiphius sloani","species","63120","Lutetian","","47.8","41.3","11408"
"440390","occ","","","43029","Cetacea indet.","order","36652","","Cetacea","order","36652","Lutetian","","47.8","41.3","11408"
"440643","occ","","","43063","aff. Prosqualodon australis","species","58388","","Prosqualodon australis","species","58388","Early Miocene","","23.03","15.97","11413"
"460810","occ","","","45450","n. gen. Waipatia n. sp. maerewhenua","species","62904","","Waipatia maerewhenua","species","62904","Duntroonian","","27.3","25.2","11876"
"460965","occ","","","45452","Pomatodelphis inaequalis","species","62907","","Pomatodelphis inaequalis","species","62907","Serravallian","","13.82","11.62","2613"
"460966","occ","","","45453","Pomatodelphis inaequalis","species","62907","","Pomatodelphis inaequalis","species","62907","Serravallian","","13.82","11.62","2613"
"460967","occ","15670","","45454","Pomatodelphis inaequalis","species","62907","","Pomatodelphis inaequalis","species","62907","Serravallian","","13.82","11.62","2613"
"460968","occ","","","45455","Pomatodelphis n. sp. inaequalis","species","62907","","Pomatodelphis inaequalis","species","62907","Serravallian","","13.82","11.62","2613"
"460969","occ","","","45456","Pomatodelphis inaequalis","species","62907","","Pomatodelphis inaequalis","species","62907","Serravallian","","13.82","11.62","2613"
"460970","occ","","","45456","Delphinodon cf. mento","species","64690","invalid subgroup of","Odontoceti","suborder","42937","Serravallian","","13.82","11.62","2613"
"460971","occ","","","45457","Pomatodelphis bobengi","species","62908","","Pomatodelphis bobengi","species","62924","Serravallian","","13.82","11.62","2613"
"460972","occ","","","45458","n. gen. Parapontoporia n. sp. pacifica","species","62910","","Parapontoporia pacifica","species","62910","Messinian","","7.246","5.333","11878"
"460973","occ","","","45458","Piscolithax n. sp. tedfordi","species","90875","","Piscolithax tedfordi","species","90875","Messinian","","7.246","5.333","11878"
"460974","occ","","","45458","Piscolithax n. sp. boreios","species","90874","","Piscolithax boreios","species","90874","Messinian","","7.246","5.333","11878"
"460975","occ","","","45458","n. gen. Denebola n. sp. brachycephala","species","64565","","Denebola brachycephala","species","64565","Messinian","","7.246","5.333","11878"
"460976","occ","","","45459","Pomatodelphis bobengi","species","62908","","Pomatodelphis bobengi","species","62924","Serravallian","","13.82","11.62","2613"
"460977","occ","","","45460","Praekogia cedrosensis","species","53139","","Praekogia cedrosensis","species","53139","Messinian","","7.246","5.333","11878"
"460978","occ","","","45460","Physeterinae indet.","subfamily","62911","","Physeterinae","subfamily","62911","Messinian","","7.246","5.333","11878"
"460979","occ","","","45460","n. gen. Albireo n. sp. whistleri","species","64532","","Albireo whistleri","species","64532","Messinian","","7.246","5.333","11878"
"460980","occ","","","18579","Squalodon calvertensis","species","68288","","Squalodon calvertensis","species","68288","Early Hemingfordian","","20.43","15.97","11874"
"460981","occ","","","18579","Phocageneus venustus","species","62956","","Phocageneus venustus","species","62956","Early Hemingfordian","","20.43","15.97","11874"
"460982","occ","","","18579","Zarhachis flagellator","species","63658","","Zarhachis flagellator","species","63658","Early Hemingfordian","","20.43","15.97","11874"
"460983","occ","15655","","18579","Schizodelphis sulcatus","species","63690","","Schizodelphis sulcatus","species","63687","Early Hemingfordian","","20.43","15.97","12196"
"460984","occ","","","18579","Kentriodontidae indet.","family","42938","","Kentriodontidae","family","42938","Early Hemingfordian","","20.43","15.97","11874"
"460985","occ","","","18579","Physeteridae indet.","family","42967","","Physeteridae","family","42967","Early Hemingfordian","","20.43","15.97","11874"
"460988","occ","","","45461","Pomatodelphis bobengi","species","62908","","Pomatodelphis bobengi","species","62924","Early Clarendonian","","13.6","10.3","2613"
"460989","occ","","","45461","Odontoceti indet.","suborder","42937","","Odontoceti","suborder","42937","Early Clarendonian","","13.6","10.3","2613"
"460990","occ","","","13079","n. gen. Ninoziphius n. sp. platyrostris","species","62912","","Ninoziphius platyrostris","species","62912","Messinian","","7.246","5.333","11880"
"460991","occ","","","18536","Ziphiidae indet.","family","42951","","Ziphiidae","family","42951","Early Clarendonian","","13.6","10.3","2613"
"460992","occ","","","45462","Pithanodelphis n. sp. nasalis","species","64570","recombined as","Atocetus nasalis","species","64570","Tortonian","","11.62","7.246","11879"
"460993","occ","","","18573","Pontoporiidae indet.","family","42965","","Pontoporiidae","family","42965","Late Hemphillian","","10.3","4.9","2613"
"460994","occ","","","18573","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Late Hemphillian","","10.3","4.9","2613"
"460995","occ","","","18573","Delphinodon cf. mento","species","64690","invalid subgroup of","Odontoceti","suborder","42937","Late Hemphillian","","10.3","4.9","2613"
"460996","occ","","","45463","Pithanodelphis nasalis","species","64570","recombined as","Atocetus nasalis","species","64570","Late Miocene","","11.608","5.333","11879"
"461047","occ","","","45469","n. gen. Goniodelphis n. sp. hudsoni","species","62925","","Goniodelphis hudsoni","species","62925","Serravallian","","13.82","11.62","11894"
"461048","occ","13827","","45469","Scaldicetus sp.","genus","36900","","Scaldicetus","genus","36900","Serravallian","","13.82","11.62","2613"
"461049","occ","","","45469","Balaenoptera n. sp. floridana","species","68451","invalid subgroup of","Mysticeti","suborder","42971","Serravallian","","13.82","11.62","12596"
"461050","occ","","","18532","Goniodelphis hudsoni","species","62925","","Goniodelphis hudsoni","species","62925","Late Hemphillian","","10.3","4.9","2613"
"461051","occ","","","18532","Ninoziphius platyrostris","species","62912","","Ninoziphius platyrostris","species","62912","Late Hemphillian","","10.3","4.9","2613"
"461052","occ","","","18532","Delphinodon cf. mento","species","64690","invalid subgroup of","Odontoceti","suborder","42937","Late Hemphillian","","10.3","4.9","2613"
"461056","occ","","","18535","Goniodelphis hudsoni","species","62925","","Goniodelphis hudsoni","species","62925","Zanclean","","5.333","3.6","2613"
"461057","occ","","","18535","Hadrodelphis sp.","genus","36722","","Hadrodelphis","genus","36722","Zanclean","","5.333","3.6","2613"
"461058","occ","","","18535","Balaenoptera floridana","species","68451","invalid subgroup of","Mysticeti","suborder","42971","Zanclean","","5.333","3.6","2613"
"461069","occ","","","45474","Scaldicetus sp.","genus","36900","","Scaldicetus","genus","36900","Zanclean","","5.333","3.6","2613"
"461074","occ","","","45476","Scaldicetus sp.","genus","36900","","Scaldicetus","genus","36900","Serravallian","","13.82","11.62","2613"
"461075","occ","","","18505","n. gen. Kogiopsis n. sp. floridana","species","62943","","Kogiopsis floridana","species","62943","Serravallian","","13.82","11.62","11916"
"461082","occ","","","45481","n. gen. Squaloziphius n. sp. emlongi","species","62918","","Squaloziphius emlongi","species","62918","Aquitanian","","23.03","20.44","11885"
"461083","occ","","","45482","Delphinus n. sp. occiduus","species","62919","nomen dubium","Odontoceti","suborder","42937","Late Miocene","","11.608","5.333","11886"
"461084","occ","","","13079","n. gen. Piscolithax n. sp. longirostris","species","64568","","Piscolithax longirostris","species","64568","Messinian","","7.246","5.333","11888"
"461085","occ","","","45455","Schizodelphis n. sp. depressus","species","62921","subjective synonym of","Pomatodelphis inaequalis","species","62907","Serravallian","","13.82","11.62","11890"
"461086","occ","","","13079","n. gen. Pliopontos n. sp. littoralis","species","64567","","Pliopontos littoralis","species","64567","Messinian","","7.246","5.333","11891"
"461087","occ","","","13079","n. gen. Odobenocetops n. sp. peruvianus","species","62923","","Odobenocetops peruvianus","species","62923","Messinian","","7.246","5.333","11893"
"461088","occ","","","45457","Schizodelphis n. sp. bobengi","species","62924","recombined as","Pomatodelphis bobengi","species","62924","Serravallian","","13.82","11.62","11892"
"461089","occ","","","45483","Ontocetus n. sp. oxymycterus","species","62926","recombined as","Albicetus oxymycterus","species","62926","Langhian","","15.97","13.82","11896"
"461090","occ","","","45484","n. gen. Incacetus n. sp. broggii","species","56940","","Incacetus broggii","species","56940","Aquitanian","","23.03","20.44","10150"
"461091","occ","","","45485","n. gen. Scaphokogia n. sp. cochlearis","species","62929","","Scaphokogia cochlearis","species","62929","Tortonian","","11.62","7.246","11895"
"461092","occ","","","45486","n. gen. Australithax n. sp. intermedia","species","62930","","Australithax intermedia","species","62930","Tortonian","","11.62","7.246","11895"
"461093","occ","","","45487","Brachydelphis mazeasi","species","64569","","Brachydelphis mazeasi","species","64569","Serravallian","","13.82","11.62","11895"
"461094","occ","","","45487","n. gen. Atocetus n. sp. iquensis","species","62932","","Atocetus iquensis","species","62932","Serravallian","","13.82","11.62","11895"
"461095","occ","","","45487","n. gen. Belonodelphis n. sp. peruanus","species","62934","","Belonodelphis peruanus","species","62934","Serravallian","","13.82","11.62","11895"
"461097","occ","","","45489","Megaptera n. sp. miocaena","species","69900","invalid subgroup of","Megaptera","genus","36760","Tortonian","","11.62","7.246","11899"
"461105","occ","","","45493","Zarhachis flagellator","species","63658","","Zarhachis flagellator","species","63658","Burdigalian","","20.44","15.97","11902"
"461106","occ","","","45493","n. gen. Kentriodon n. sp. pernix","species","64433","","Kentriodon pernix","species","64433","Burdigalian","","20.44","15.97","11904"
"461107","occ","","","45493","Eurhinodelphis n. sp. bossi","species","66353","recombined as","Xiphiacetus bossi","species","66353","Burdigalian","","20.44","15.97","11905"
"461108","occ","","","45494","n. gen. Australodelphis n. sp. mirus","species","62937","","Australodelphis mirus","species","62937","Zanclean","","5.333","3.6","11903"
"461109","occ","","","45495","n. gen. Idiophyseter n. sp. merriami","species","62935","","Idiophyseter merriami","species","62935","Langhian","","15.97","13.82","11906"
"461110","occ","","","45496","Cetotherium n. sp. furlongi","species","69898","","Cetotherium furlongi","species","69898","Burdigalian","","20.44","15.97","11907"
"461111","occ","","","13297","n. gen. Aulophyseter n. sp. morricei","species","63838","","Aulophyseter morricei","species","63838","Langhian","","15.97","13.82","11909"
"461112","occ","","","45498","n. gen. Parietobalaena n. sp. palmeri","species","62938","","Parietobalaena palmeri","species","62938","Langhian","","15.97","13.82","11912"
"461113","occ","12338","","45497","n. gen. Tusciziphius n. sp. crispus","species","62940","","Tusciziphius crispus","species","62940","Zanclean","","5.333","3.6","11911"
"461114","occ","","","45499","n. gen. Nannocetus n. sp. eremus","species","62941","","Nannocetus eremus","species","62941","Messinian","","7.246","5.333","11913"
"461115","occ","","","45500","n. gen. Xenorophus n. sp. sloanii","species","62942","","Xenorophus sloanii","species","62942","Rupelian","","33.9","28.1","11915"
"461120","occ","29783","","45501","""Balaenoptera"" ryani","species","62944","invalid subgroup of","Balaenoptera","genus","36678","Tortonian","","11.62","7.246","12297"
"461121","occ","","","45502","n. gen. Pelocetus n. sp. calvertensis","species","62945","","Pelocetus calvertensis","species","62945","Langhian","","15.97","13.82","11917"
"461122","occ","","","45503","n. gen. Messapicetus n. sp. longirostris","species","62947","","Messapicetus longirostris","species","62947","Tortonian","","11.62","7.246","11918"
"461123","occ","","","45505","n. gen. Vanbreenia n. sp. trigonia","species","62950","","Vanbreenia trigonia","species","62950","Langhian","","15.97","13.82","11920"
"461126","occ","","","45502","Diorocetus hiatus","species","62951","","Diorocetus hiatus","species","62951","Langhian","","15.97","13.82","11921"
"461128","occ","","","45508","Aglaocetus n. sp. patulus","species","62952","","Aglaocetus patulus","species","62952","Langhian","","15.97","13.82","11923"
"461129","occ","","","45508","Pelocetus calvertensis","species","62945","","Pelocetus calvertensis","species","62945","Langhian","","15.97","13.82","11917"
"461130","occ","","","45502","n. gen. Hadrodelphis n. sp. calvertense","species","64434","","Hadrodelphis calvertense","species","64434","Langhian","","15.97","13.82","11924"
"461131","occ","","","45509","Lophocetus n. sp. pappus","species","62953","","Lophocetus pappus","species","62953","Langhian","","15.97","13.82","11925"
"461132","occ","","","45502","Lophocetus pappus","species","62953","","Lophocetus pappus","species","62953","Langhian","","15.97","13.82","11925"
"461133","occ","","","45502","Pelodelphis gracilis","species","62954","nomen dubium","Odontoceti","suborder","42937","Langhian","","15.97","13.82","11925"
"461134","occ","","","45493","Pelodelphis gracilis","species","62954","nomen dubium","Odontoceti","suborder","42937","Burdigalian","","20.44","15.97","11925"
"461135","occ","","","45510","Tretosphys gabbii","species","62955","nomen dubium","Odontoceti","suborder","42937","Late Miocene","","11.608","5.333","11925"
"461136","occ","","","45493","Tretosphys gabbii","species","62955","nomen dubium","Odontoceti","suborder","42937","Burdigalian","","20.44","15.97","11925"
"461137","occ","","","45511","Phocageneus venustus","species","62956","","Phocageneus venustus","species","62956","Burdigalian","","20.44","15.97","11926"
"461398","occ","","","45524","n. gen. Attockicetus n. sp. praecursor","species","62970","","Attockicetus praecursor","species","62970","Lutetian","","47.8","41.3","11942"
"461438","occ","","","45527","n. gen. Ambulocetus n. sp. natans","species","62971","","Ambulocetus natans","species","62971","Lutetian","","47.8","41.3","11943"
